#timestamp tx ty tz qx qy qz qw
1403715274.302143097 0.878612000 2.142470000 0.947262000 -0.828459000 -0.058956000 -0.553641000 0.060514000
1403715274.307142973 0.878658000 2.142398000 0.947252000 -0.828433000 -0.059051000 -0.553664000 0.060571000
1403715274.312143087 0.878703000 2.142317000 0.947242000 -0.828405000 -0.059100000 -0.553697000 0.060600000
1403715274.317143202 0.878746000 2.142225000 0.947230000 -0.828395000 -0.059095000 -0.553715000 0.060577000
1403715274.322143078 0.878787000 2.142125000 0.947213000 -0.828410000 -0.059057000 -0.553704000 0.060511000
1403715274.327142954 0.878826000 2.142021000 0.947195000 -0.828430000 -0.058994000 -0.553690000 0.060430000
1403715274.332143307 0.878862000 2.141919000 0.947181000 -0.828434000 -0.058938000 -0.553697000 0.060351000
1403715274.337143183 0.878896000 2.141825000 0.947171000 -0.828421000 -0.058910000 -0.553727000 0.060292000
1403715274.342143059 0.878927000 2.141743000 0.947165000 -0.828396000 -0.058910000 -0.553766000 0.060273000
1403715274.347142935 0.878958000 2.141674000 0.947159000 -0.828368000 -0.058930000 -0.553802000 0.060311000
1403715274.352143288 0.878989000 2.141612000 0.947148000 -0.828353000 -0.058963000 -0.553813000 0.060386000
1403715274.357143164 0.879017000 2.141551000 0.947135000 -0.828353000 -0.058997000 -0.553801000 0.060456000
1403715274.362143040 0.879045000 2.141483000 0.947123000 -0.828362000 -0.059011000 -0.553783000 0.060489000
1403715274.367142916 0.879072000 2.141405000 0.947114000 -0.828371000 -0.058994000 -0.553775000 0.060457000
1403715274.372143269 0.879098000 2.141317000 0.947110000 -0.828367000 -0.058934000 -0.553796000 0.060382000
1403715274.377142906 0.879124000 2.141231000 0.947108000 -0.828360000 -0.058872000 -0.553822000 0.060298000
1403715274.382143021 0.879149000 2.141160000 0.947102000 -0.828361000 -0.058847000 -0.553826000 0.060273000
1403715274.387142897 0.879174000 2.141115000 0.947091000 -0.828370000 -0.058900000 -0.553799000 0.060334000
1403715274.392143250 0.879200000 2.141091000 0.947077000 -0.828391000 -0.059029000 -0.553740000 0.060460000
1403715274.397142887 0.879225000 2.141070000 0.947065000 -0.828408000 -0.059170000 -0.553686000 0.060594000
1403715274.402143002 0.879256000 2.141018000 0.947055000 -0.828415000 -0.059247000 -0.553660000 0.060657000
1403715274.407143354 0.879283000 2.140944000 0.947052000 -0.828421000 -0.059202000 -0.553661000 0.060604000
1403715274.412143230 0.879311000 2.140846000 0.947051000 -0.828429000 -0.059037000 -0.553685000 0.060441000
1403715274.417143106 0.879338000 2.140748000 0.947049000 -0.828442000 -0.058830000 -0.553709000 0.060255000
1403715274.422142982 0.879364000 2.140675000 0.947041000 -0.828461000 -0.058689000 -0.553704000 0.060167000
1403715274.427143335 0.879386000 2.140640000 0.947030000 -0.828480000 -0.058682000 -0.553670000 0.060217000
1403715274.432142973 0.879405000 2.140638000 0.947021000 -0.828487000 -0.058797000 -0.553633000 0.060365000
1403715274.437143087 0.879420000 2.140648000 0.947019000 -0.828468000 -0.058970000 -0.553623000 0.060533000
1403715274.442142963 0.879433000 2.140649000 0.947023000 -0.828430000 -0.059112000 -0.553651000 0.060661000
1403715274.447143316 0.879446000 2.140628000 0.947028000 -0.828399000 -0.059168000 -0.553685000 0.060713000
1403715274.452142954 0.879472000 2.140568000 0.947022000 -0.828388000 -0.059116000 -0.553711000 0.060687000
1403715274.457143068 0.879490000 2.140500000 0.947019000 -0.828391000 -0.058997000 -0.553731000 0.060583000
1403715274.462142944 0.879510000 2.140426000 0.947015000 -0.828404000 -0.058848000 -0.553740000 0.060456000
1403715274.467143297 0.879530000 2.140360000 0.947011000 -0.828422000 -0.058738000 -0.553740000 0.060324000
